speed_y	speed_x	thw	timestamp	distan	thw2	gun	a_y	a_z	brake	position_x	position_y	front	a_x	speed	steer	drive-status	distan	obs-thw	obs-speed	ttc
0.074294	2.316691	6.42918584558	1533175215.777520	14.9031180203	6.42241238271	17.254902	-0.000932	0.041096	20.119020	470781.875801	4399211.323633	-88.186328	-0.032153	2.317882	1.489362	1.000000	13.048294446	0.669231060469	19.497442986	5.75995478511
0.074666	2.315291	6.41460645783	1533175215.782516	14.8679953319	6.41447465052	17.335775	-0.012977	0.037542	20.428778	470781.887234	4399211.324073	-88.184754	-0.033624	2.316494	1.446808	1.000000	12.9934385301	0.666332335362	19.4999369542	5.74827412247
0.075653	2.313296	6.413516201	1533175215.792516	14.8565538683	6.4133789547	17.335775	-0.205147	-0.044763	20.428778	470781.910096	4399211.324961	-88.181971	-0.077931	2.314532	1.446808	1.000000	12.9395735289	0.663626011801	19.4982916565	5.7498901892
0.076531	2.309027	6.40902270125	1533175215.807516	14.8336746291	6.40893045724	17.418173	-0.350477	0.168269	19.784847	470781.944396	4399211.326269	-88.177205	-0.072403	2.310295	1.425532	1.000000	12.8857111331	0.660910689897	19.4969022745	5.74811201135
0.077143	2.308419	6.40585843906	1533175215.817516	14.7993496984	6.40582683095	17.418173	-0.354498	-0.232065	19.784847	470781.967301	4399211.327100	-88.173476	-0.057243	2.309708	1.425532	1.000000	12.8318679542	0.658121452857	19.4977202133	5.7477369862
0.077732	2.307190	6.39756230772	1533175215.827516	14.7764296289	6.39753147536	17.401388	-0.140072	0.325534	19.913023	470781.990194	4399211.327935	-88.170997	-0.034525	2.308499	1.425532	1.000000	12.7509805706	0.653969520339	19.4978208831	5.74359278738
0.078385	2.305819	6.39098910346	1533175215.832516	14.7535214061	6.39095854322	17.401388	-0.057594	0.336644	19.913023	470782.001635	4399211.328356	-88.169389	-0.046750	2.307151	1.382979	1.000000	12.7239500319	0.652410648067	19.5029772576	5.73857845539
0.079011	2.303564	6.38976081123	1533175215.847516	14.7420726628	6.38973030497	17.401388	0.071191	0.093068	19.913023	470782.035939	4399211.329628	-88.165559	0.008034	2.304918	1.382979	1.000000	12.6698881993	0.649614656363	19.5036981928	5.74014615487
0.079414	2.302908	6.3810575841	1533175215.852516	14.7077450879	6.38102747598	17.286945	0.018591	0.099884	20.134279	470782.047364	4399211.330056	-88.163736	0.020977	2.304277	1.361702	1.000000	12.6158277347	0.647004672817	19.4988201241	5.73405291128
0.080349	2.298388	6.37787426537	1533175215.867516	14.6963120739	6.37784089062	17.286945	-0.311069	0.341779	20.134279	470782.081604	4399211.331347	-88.158480	-0.043981	2.299792	1.361702	1.000000	12.5617705038	0.644315562921	19.4963015434	5.73355870245
0.080773	2.295895	6.39121756106	1533175215.877519	14.6620477443	6.3753799232	17.238117	-0.477329	-0.019067	20.338751	470782.105051	4399211.330515	-88.161144	-0.076801	2.297316	1.340425	1.000000	12.5076990351	0.64152655056	19.4967753466	5.7496910105
0.081132	2.295113	6.37217553583	1533175215.882516	14.6385859875	6.37203849514	17.238117	-0.424800	-0.083897	20.338751	470782.116391	4399211.330988	-88.159117	-0.076486	2.296547	1.340425	1.000000	12.4532537591	0.63905119164	19.4870988773	5.73312434419
0.081450	2.292741	6.36936609609	1533175215.897516	14.6272361272	6.36923003415	17.450218	-0.039333	0.001685	20.567636	470782.150404	4399211.332412	-88.153456	-0.041495	2.294188	1.319149	1.000000	12.3725753771	0.634879581237	19.4880663086	5.73448651485
0.081899	2.291068	6.36101512956	1533175215.907516	14.5931933314	6.36094048588	17.450218	0.039784	-0.175200	20.567636	470782.173101	4399211.333327	-88.150056	0.037494	2.292531	1.319149	1.000000	12.318755537	0.632102886119	19.4885291738	5.72891224344
0.081693	2.287294	6.3556553714	1533175215.917516	14.5704778954	6.35562960561	17.630274	-0.028209	0.117035	20.846876	470782.195816	4399211.334205	-88.147099	0.041291	2.288752	1.297872	1.000000	12.318755537	0.632102886119	19.4885291738	5.72355248528
0.082193	2.285319	6.35621824227	1533175215.927519	14.5477459331	6.35619146729	17.630274	-0.347877	-0.112476	20.846876	470782.218513	4399211.335083	-88.143762	0.058442	2.286796	1.297872	1.000000	12.2380692149	0.628016808782	19.4868497845	5.72820143349
0.082011	2.282641	6.35171916355	1533175215.937516	14.5250319574	6.35169554145	17.532616	-0.410741	0.232047	19.940491	470782.241174	4399211.335962	-88.140232	-0.031984	2.284113	1.255319	1.000000	12.1842698068	0.625309103079	19.4851949968	5.72641006047
0.081727	2.281445	6.34925062553	1533175215.947516	14.502353916	6.34922786918	17.532616	-0.472881	0.087620	19.940491	470782.263816	4399211.336839	-88.136457	-0.021897	2.282909	1.255319	1.000000	12.1842698068	0.625309103079	19.4851949968	5.72394152245
0.081892	2.273737	6.35845095283	1533175215.957516	14.4796949378	6.34265095008	17.091631	-0.193464	0.127011	20.141909	470782.286631	4399211.336047	-88.138801	0.012652	2.275212	1.234043	1.000000	12.076451055	0.619655538031	19.4889746219	5.7387954148
0.081642	2.271273	6.35428936211	1533175215.967516	14.4568661952	6.3540743435	17.091631	-0.027969	-0.253222	20.141909	470782.308840	4399211.337029	-88.135239	0.085784	2.272740	1.234043	1.000000	12.0225630931	0.616926303934	19.4878432261	5.73736305818
0.081987	2.268664	6.35142472045	1533175215.977519	14.4346354956	6.35120405133	17.174028	-0.037225	0.155680	20.265507	470782.331036	4399211.338012	-88.130630	0.045959	2.270144	1.191489	1.000000	11.9686577537	0.614148440974	19.4882164557	5.73727627948
0.082416	2.267749	6.34889857471	1533175215.982516	14.4124177391	6.34867996882	17.174028	-0.100045	0.210205	20.265507	470782.342114	4399211.338505	-88.129312	0.008046	2.269246	1.191489	1.000000	11.9147472448	0.611291500801	19.4911056823	5.73760707391
0.083538	2.262170	6.34654267967	1533175216.002522	14.4013287746	6.34630567803	17.337301	-0.435506	0.083327	20.340277	470782.386398	4399211.340498	-88.122591	-0.064604	2.263712	1.148936	1.000000	11.8059877397	0.60571104357	19.4911218228	5.7408316361
0.068939	2.274778	6.45443476719	1533175216.007522	14.3569999498	6.3422378597	17.337301	-0.480464	0.130742	20.340277	470782.398760	4399211.338632	-88.120848	-0.066774	2.275823	1.148936	1.000000	11.8059877397	0.60571104357	19.4911218228	5.84872372362
0.069008	2.273069	6.30538067445	1533175216.017522	14.3444979099	6.30299364665	17.254902	-0.339488	0.055449	19.868773	470782.421705	4399211.338696	-88.117530	-0.032888	2.274116	1.106383	1.000000	11.7508380458	0.602193097053	19.5134054231	5.7031875774
0.069259	2.270060	6.30061119316	1533175216.027522	14.3215528207	6.29763513412	17.254902	-0.092412	0.088380	20.120546	470782.444715	4399211.338687	-88.114687	0.008358	2.271117	1.106383	1.000000	11.6965993748	0.599380605005	19.5144775742	5.70123058815
0.070580	2.265754	6.29873991135	1533175216.042522	14.2985428189	6.29581955439	17.204548	-0.037998	-0.230275	20.120546	470782.479182	4399211.338689	-88.111273	-0.006504	2.266853	1.042553	1.000000	11.5881362177	0.593832791137	19.5141399913	5.70490712021
0.071321	2.263766	6.29542471196	1533175216.047526	14.2640758189	6.29245734896	17.204548	-0.162218	0.269860	20.120546	470782.490665	4399211.338694	-88.110264	-0.048569	2.264890	1.042553	1.000000	11.5881362177	0.593832791137	19.5141399913	5.70159192082
0.073502	2.260919	6.295739053	1533175216.062522	14.2525928178	6.29284107297	17.384604	-0.383026	0.177364	20.296024	470782.525043	4399211.338734	-88.108372	-0.139123	2.262114	1.000000	1.000000	11.4796686828	0.588158906756	19.5179713355	5.70758014624
0.074015	2.258839	6.28835772356	1533175216.067522	14.2182147945	6.2853661639	17.384604	-0.378395	0.104326	20.296024	470782.536494	4399211.338753	-88.107342	-0.138774	2.260052	1.000000	1.000000	11.4796686828	0.588158906756	19.5179713355	5.7001988168
0.076044	2.253695	6.30196718149	1533175216.082525	14.2067637787	6.28603402874	17.581446	-0.352862	0.142864	20.421148	470782.571144	4399211.337423	-88.124063	-0.085972	2.254977	0.936170	1.000000	11.3703598342	0.58260783688	19.5163180349	5.71935934461
0.076514	2.250407	6.28672601429	1533175216.092525	14.1720882629	6.28480390836	17.581446	-0.178154	0.167656	20.421148	470782.593835	4399211.337627	-88.122677	-0.053477	2.251707	0.936170	1.000000	11.3161795857	0.579829897249	19.5163782333	5.70689611704
0.076857	2.247419	6.28579967881	1533175216.102522	14.1493963458	6.28385324815	17.630274	-0.133829	-0.023259	19.649042	470782.616487	4399211.337833	-88.121452	-0.016677	2.248733	0.893617	1.000000	11.2619892485	0.577077919119	19.5155435262	5.70872175969
0.077821	2.245169	6.28401181941	1533175216.112522	14.1267434091	6.28209014105	17.630274	-0.171132	-0.035740	19.649042	470782.639115	4399211.338047	-88.121149	-0.011884	2.246517	0.893617	1.000000	11.2078038504	0.57439459496	19.5123769421	5.70961722445
0.078638	2.242557	6.28040703195	1533175216.122522	14.1041143972	6.27821396287	17.221333	-0.277912	0.042945	19.775692	470782.661756	4399211.338233	-88.119412	-0.064498	2.243936	0.851064	1.000000	11.1536179208	0.571607215048	19.5127311677	5.7087998169
0.079830	2.240345	6.27779026521	1533175216.132522	14.0814726332	6.27534503357	17.221333	-0.414408	-0.084036	19.775692	470782.684411	4399211.338395	-88.118135	-0.064535	2.241766	0.851064	1.000000	11.0992101343	0.568823599768	19.5125696944	5.70896666544
0.080599	2.237685	6.2737816678	1533175216.142525	14.0588170541	6.27131335477	17.254902	-0.365085	-0.067789	19.938965	470782.707052	4399211.338566	-88.117588	-0.127988	2.239136	0.787234	1.000000	11.0447939491	0.566064405028	19.5115500127	5.70771726277
