speed_y	speed_x	thw	timestamp	distan	thw2	gun	a_y	a_z	brake	position_x	position_y	front	a_x	speed	steer	drive-status	obs-distan	obs-thw	obs-speed	ttc
-0.142380	-0.606843	14.414243103	1533265695.348363	8.96609729525	14.4119584447	17.091631	0.346473	0.104209	13.795682	433316.892042	4437235.926761	105.458696	-0.060914	0.623322	57.872341	1.000000	8.62473517985	0.74666799532	11.5509640615	13.6675751077
-0.143580	-0.608991	14.3816279739	1533265695.358363	8.9629777562	14.3793701429	17.369345	0.260028	0.062691	13.842984	433316.885926	4437235.925440	105.499534	-0.115424	0.625687	57.872341	1.000000	8.59291542	0.746165630284	11.5160965223	13.6354623436
-0.144578	-0.611066	14.3172783095	1533265695.368363	8.95672072039	14.3150180847	17.369345	0.237820	0.126142	13.842984	433316.879788	4437235.924108	105.540984	-0.066674	0.627937	57.872341	1.000000	8.56119497725	0.745906328871	11.4775738533	13.5713719806
-0.144997	-0.612967	14.2555550698	1533265695.378363	8.95043985499	14.2537226744	17.744717	0.207505	0.078787	13.791104	433316.873636	4437235.922756	105.582786	-0.040030	0.629883	57.872341	1.000000	8.52959122495	0.745494222749	11.4415255875	13.5100608471
-0.144603	-0.615512	14.2013853986	1533265695.388363	8.94414104508	14.1996863625	17.744717	0.203065	0.066130	13.791104	433316.867557	4437235.921417	105.627838	0.029177	0.632269	57.872341	1.000000	8.4980705617	0.745261107878	11.4028096621	13.4561242907
-0.144546	-0.617485	14.1397272304	1533265695.398363	8.93791632315	14.1362558075	18.005646	0.150832	0.092646	13.820096	433316.861338	4437235.920101	105.670079	0.048934	0.634177	57.851063	1.000000	8.46673980091	0.745114257358	11.3630087162	13.394612973
-0.144728	-0.619710	14.0871263263	1533265695.408363	8.93155960884	14.0837015673	18.005646	0.103737	0.145411	13.820096	433316.855098	4437235.918785	105.712072	0.072936	0.636385	57.851063	1.000000	8.43545253784	0.744710068462	11.3271632748	13.3424162578
-0.144661	-0.623259	14.0283208014	1533265695.423363	8.92518234807	14.0248157139	18.104830	0.181597	0.131532	13.769741	433316.845695	4437235.916810	105.776815	0.053767	0.639828	57.829788	1.000000	8.38872616364	0.744271988878	11.2710491447	13.2840488125
-0.144785	-0.625335	13.9376906705	1533265695.433363	8.91557417271	13.9343294959	18.104830	0.264152	0.099365	13.769741	433316.839398	4437235.915493	105.820635	0.062916	0.641877	57.829788	1.000000	8.34224218074	0.744129079738	11.2107461029	13.1935615908
-0.145066	-0.627320	13.8826148866	1533265695.443363	8.90914092325	13.8798257661	18.072786	0.320553	0.158885	13.842984	433316.833079	4437235.914163	105.864825	0.025788	0.643874	57.808510	1.000000	8.34224218074	0.744129079738	11.2107461029	13.1384858069
-0.145462	-0.629467	13.8290104723	1533265695.453363	8.90268347317	13.8267478935	18.072786	0.363377	0.106181	13.842984	433316.826741	4437235.912818	105.908934	0.032610	0.646056	57.808510	1.000000	8.28059026031	0.743902350272	11.131286596	13.085108122
-0.146644	-0.631978	13.7721707934	1533265695.463363	8.89620433204	13.7700204503	17.747768	0.350529	0.020692	13.795682	433316.820381	4437235.911466	105.953137	0.008807	0.648768	57.808510	1.000000	8.26524526742	0.74408254556	11.1079682177	13.0280882478
-0.148011	-0.634311	13.7045023561	1533265695.473363	8.88970221668	13.7024363358	17.747768	0.290510	0.035109	13.795682	433316.814000	4437235.910102	105.997232	-0.050359	0.651351	57.808510	1.000000	8.21938250667	0.743947481956	11.0483370211	12.9605548741
-0.148945	-0.636293	13.6393910712	1533265695.483363	8.88317706116	13.6380800231	17.386129	0.175819	0.036693	13.820096	433316.807757	4437235.908736	106.041083	-0.075453	0.653493	57.808510	1.000000	8.18894361857	0.743635313927	11.0120424154	12.8957557573
-0.150372	-0.638346	13.5868435544	1533265695.493363	8.87678636423	13.5835982394	17.386129	0.112868	0.017653	13.820096	433316.801339	4437235.907381	106.085294	-0.083950	0.655818	57.808510	1.000000	8.17383269728	0.743614473162	10.9920301343	12.8432290812
-0.153009	-0.641269	13.5284319236	1533265695.508363	8.87022688649	13.5254398118	16.896315	0.104883	-0.139249	13.823148	433316.791670	4437235.905317	106.150916	-0.110610	0.659271	57.787235	1.000000	8.12847690837	0.743322426257	10.935331185	12.7851094973
-0.156271	-0.639750	13.4408416015	1533265695.518363	8.8603400439	13.4396022939	16.896315	0.185095	-0.046119	13.823148	433316.785574	4437235.903775	106.195071	-0.107725	0.658560	57.787235	1.000000	8.09837608622	0.743226797794	10.8962380128	12.6976148037
-0.157845	-0.642881	13.445112072	1533265695.528363	8.85405204099	13.4445639592	16.896315	0.292231	-0.152382	13.823148	433316.779258	4437235.902292	106.238707	-0.096335	0.661975	57.787235	1.000000	8.06828071334	0.742598393946	10.8649315419	12.7025136781
-0.158399	-0.643188	13.3656106763	1533265695.533363	8.84756427218	13.3654054491	16.699474	0.374577	-0.182881	13.797208	433316.776099	4437235.901535	106.260954	-0.077017	0.662406	57.765957	1.000000	8.03830279573	0.742639236043	10.8239672853	12.6229714403
