auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
12.883487	-1.117153	12.834961	128.391543	0.084315	-1025501.000000	1.759979	-0.192553	1.749413	11.124039	-0.924599	11.085547	1.000000	11.541810	1542945305.547160	9.965589
12.885077	-1.119198	12.836379	128.185899	0.084619	-1025501.000000	1.759979	-0.192553	1.749413	11.125622	-0.926645	11.086965	1.000000	11.521684	1542945305.563151	9.948400
12.885808	-1.120043	12.837038	128.082920	0.084784	-1025501.000000	1.759979	-0.192553	1.749413	11.126349	-0.927490	11.087624	1.000000	11.511675	1542945305.571158	9.939844
12.886913	-1.120318	12.838123	127.980087	0.084952	-1025501.000000	1.759979	-0.192553	1.749413	11.127454	-0.927765	11.088710	1.000000	11.501291	1542945305.579153	9.931012
12.888787	-1.121192	12.839928	127.774236	0.085299	-1025001.000000	1.759979	-0.192553	1.749413	11.129325	-0.928638	11.090515	1.000000	11.480861	1542945305.595156	9.913597
12.889485	-1.120589	12.840681	127.671356	0.085470	-1025001.000000	1.759979	-0.192553	1.749413	11.130026	-0.928036	11.091268	1.000000	11.470895	1542945305.603153	9.905078
12.889652	-1.120781	12.840832	127.568372	0.085639	-1025001.000000	1.759979	-0.192553	1.749413	11.130192	-0.928228	11.091419	1.000000	11.461471	1542945305.611158	9.896960
12.889562	-1.120947	12.840728	127.465488	0.085810	-1025001.000000	1.759979	-0.192553	1.749413	11.130102	-0.928393	11.091315	1.000000	11.452320	1542945305.619155	9.889047
12.888983	-1.120546	12.840181	127.362515	0.085980	-1025001.000000	1.759979	-0.192553	1.749413	11.129524	-0.927992	11.090768	1.000000	11.443662	1542945305.627159	9.881502
12.886823	-1.120496	12.838017	127.156714	0.086314	-1025001.000000	1.759979	-0.192553	1.749413	11.127363	-0.927943	11.088604	1.000000	11.427389	1542945305.643158	9.867189
12.885738	-1.120622	12.836917	127.053845	0.086484	-1025001.000000	1.759979	-0.192553	1.749413	11.126278	-0.928069	11.087504	1.000000	11.419259	1542945305.651156	9.860036
12.886771	-1.121013	12.837920	126.951001	0.086657	-1025001.000000	1.759979	-0.192553	1.749413	11.127310	-0.928459	11.088507	1.000000	11.408957	1542945305.659152	9.851265
12.887313	-1.120935	12.838471	126.848049	0.086830	-1025001.000000	1.759979	-0.192553	1.749413	11.127852	-0.928382	11.089057	1.000000	11.399150	1542945305.667156	9.842863
12.890639	-1.117248	12.842131	126.642209	0.087143	-1025001.000000	1.759979	-0.192553	1.749413	11.131192	-0.924695	11.092717	1.000000	11.377237	1542945305.683157	9.824355
12.890718	-1.115869	12.842330	126.539278	0.087279	-1025001.000000	1.759979	-0.192553	1.749413	11.131277	-0.923316	11.092917	1.000000	11.367904	1542945305.691157	9.816309
12.891321	-1.114782	12.843029	126.436348	0.087404	-1025001.000000	1.759979	-0.192553	1.749413	11.131883	-0.922229	11.093616	1.000000	11.358038	1542945305.699157	9.807866
