a_x	a_y	a_z	brake	drive-status	front	gun	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.085252	0.604504	0.005261	14.644500	1.000000	88.794018	24.784500	470837.260707	4399134.755244	0.135167	-0.135158	0.001527	2.446809	1543481452.330727
0.089490	0.601620	0.011416	14.644500	1.000000	88.794120	24.784500	470837.259583	4399134.755268	0.140456	-0.140443	0.001901	2.446809	1543481452.338726
0.069755	0.591735	0.042631	14.602500	1.000000	88.794654	24.880501	470837.257209	4399134.755324	0.150879	-0.150859	0.002445	2.468085	1543481452.354726
0.055259	0.595535	-0.015076	14.602500	1.000000	88.794725	24.880501	470837.255959	4399134.755355	0.156121	-0.156100	0.002543	2.468085	1543481452.362728
0.049000	0.601553	0.001570	14.575500	1.000000	88.794707	25.017000	470837.254667	4399134.755387	0.161412	-0.161391	0.002594	2.468085	1543481452.370728
0.058427	0.597974	0.009918	14.575500	1.000000	88.794852	25.017000	470837.253333	4399134.755419	0.166674	-0.166651	0.002719	2.468085	1543481452.378727
0.067267	0.579984	0.027606	14.676000	1.000000	88.795367	25.108500	470837.250543	4399134.755488	0.176786	-0.176759	0.003084	2.468085	1543481452.394726
0.079752	0.623187	-0.020163	14.676000	1.000000	88.795658	25.108500	470837.249085	4399134.755526	0.182247	-0.182216	0.003383	2.468085	1543481452.402727
0.062350	0.632223	0.020816	14.704500	1.000000	88.795903	25.245001	470837.247582	4399134.755565	0.187784	-0.187750	0.003545	2.468085	1543481452.410726
0.054237	0.641182	0.014781	14.629500	1.000000	88.796158	25.336500	470837.246033	4399134.755605	0.193393	-0.193358	0.003644	2.468085	1543481452.418727
0.045584	0.650901	0.065268	14.629500	1.000000	88.796878	25.336500	470837.242802	4399134.755688	0.204688	-0.204653	0.003829	2.468085	1543481452.434727
0.038051	0.670020	0.024663	14.629500	1.000000	88.797358	25.336500	470837.241118	4399134.755730	0.210529	-0.210495	0.003803	2.468085	1543481452.442727
0.042218	0.676352	0.086700	14.622000	1.000000	88.797847	25.469999	470837.239387	4399134.755773	0.216426	-0.216392	0.003815	2.489362	1543481452.450727
0.038310	0.689055	0.013100	14.622000	1.000000	88.798172	25.469999	470837.237608	4399134.755816	0.222418	-0.222386	0.003794	2.489362	1543481452.458727
0.046563	0.679492	0.040705	14.695500	1.000000	88.798607	25.566000	470837.233908	4399134.755901	0.234294	-0.234264	0.003793	2.489362	1543481452.474727
0.071453	0.688360	-0.027456	14.695500	1.000000	88.798966	25.566000	470837.231986	4399134.755945	0.240277	-0.240243	0.004036	2.489362	1543481452.482728
0.063004	0.672000	-0.001487	14.628000	1.000000	88.799688	25.711500	470837.228001	4399134.756039	0.251989	-0.251949	0.004463	2.489362	1543481452.498728
0.044812	0.711638	0.008346	14.628000	1.000000	88.800446	25.711500	470837.223990	4399134.756136	0.262666	-0.262623	0.004773	2.489362	1543481452.514726
0.041933	0.722595	0.022079	14.628000	1.000000	88.800749	25.711500	470837.221903	4399134.756187	0.268928	-0.268885	0.004787	2.489362	1543481452.522727
0.041771	0.747826	0.006706	14.638500	1.000000	88.801644	25.950001	470837.217581	4399134.756288	0.281618	-0.281579	0.004706	2.510638	1543481452.538727
0.044065	0.732925	0.045014	14.638500	1.000000	88.801949	25.950001	470837.215343	4399134.756339	0.287964	-0.287925	0.004740	2.510638	1543481452.546727
0.040480	0.727748	0.080899	14.646000	1.000000	88.802430	26.049000	470837.213054	4399134.756390	0.294272	-0.294234	0.004746	2.531915	1543481452.554727
0.051821	0.738721	0.038426	14.646000	1.000000	88.803321	26.049000	470837.208323	4399134.756496	0.307139	-0.307099	0.005003	2.531915	1543481452.570727
0.053758	0.749061	0.021905	14.670000	1.000000	88.803804	26.128500	470837.205881	4399134.756550	0.313612	-0.313571	0.005116	2.531915	1543481452.578728
0.047596	0.778742	0.013693	14.670000	1.000000	88.805564	26.206499	470837.198238	4399134.756720	0.333550	-0.333505	0.005440	2.531915	1543481452.602728
0.039180	0.776639	0.031279	14.670000	1.000000	88.807039	26.206499	470837.195307	4399134.756735	0.342829	-0.342790	0.005140	2.531915	1543481452.610727
0.059843	0.809273	-0.002321	14.596500	1.000000	88.807560	26.401501	470837.192477	4399134.756781	0.349779	-0.349739	0.005310	2.531915	1543481452.618726
0.042221	0.794738	0.037600	14.596500	1.000000	88.808075	26.401501	470837.189592	4399134.756827	0.356620	-0.356580	0.005339	2.531915	1543481452.626727
0.056742	0.812023	-0.010435	14.644500	1.000000	88.809167	26.388000	470837.183658	4399134.756922	0.370463	-0.370422	0.005495	2.531915	1543481452.642727
0.040644	0.807719	0.005947	14.644500	1.000000	88.809894	26.388000	470837.180607	4399134.756970	0.377404	-0.377364	0.005511	2.531915	1543481452.650727
0.044797	0.817960	0.044246	14.643000	1.000000	88.810473	26.517000	470837.177501	4399134.757020	0.384430	-0.384389	0.005564	2.531915	1543481452.658727
0.051987	0.828418	-0.004489	14.643000	1.000000	88.811871	26.517000	470837.171122	4399134.757120	0.398423	-0.398382	0.005729	2.531915	1543481452.674726
0.057530	0.835036	0.070766	14.644500	1.000000	88.812501	26.578501	470837.167847	4399134.757172	0.405586	-0.405543	0.005888	2.531915	1543481452.682725
0.051713	0.820393	0.012475	14.644500	1.000000	88.813076	26.578501	470837.164514	4399134.757225	0.412630	-0.412587	0.005995	2.531915	1543481452.690728
0.051376	0.863993	0.035599	14.596500	1.000000	88.813684	26.578501	470837.161125	4399134.757279	0.420022	-0.419978	0.006107	2.553191	1543481452.698727
0.040848	0.870771	0.041202	14.596500	1.000000	88.814275	26.578501	470837.157676	4399134.757334	0.427470	-0.427426	0.006137	2.553191	1543481452.706727
0.037690	0.854682	0.076019	14.596500	1.000000	88.815698	26.868000	470837.150603	4399134.757445	0.442047	-0.442004	0.006149	2.553191	1543481452.722727
0.038870	0.861093	-0.019311	14.673000	1.000000	88.816488	26.882999	470837.146979	4399134.757501	0.449412	-0.449369	0.006158	2.553191	1543481452.730726
0.043388	0.870946	-0.043673	14.673000	1.000000	88.817264	26.882999	470837.143294	4399134.757558	0.456856	-0.456814	0.006203	2.553191	1543481452.738727
0.054935	0.884453	0.002940	14.598000	1.000000	88.819513	26.952000	470837.131887	4399134.757732	0.479124	-0.479080	0.006486	2.553191	1543481452.762728
0.056979	0.880881	-0.008611	14.598000	1.000000	88.820212	26.952000	470837.127966	4399134.757792	0.486648	-0.486603	0.006643	2.553191	1543481452.770728
0.074871	0.875594	-0.004066	14.650500	1.000000	88.820919	27.212999	470837.123985	4399134.757854	0.494128	-0.494079	0.006942	2.553191	1543481452.778726
0.074122	0.894442	0.046276	14.650500	1.000000	88.821635	27.212999	470837.119943	4399134.757919	0.501763	-0.501711	0.007241	2.553191	1543481452.786725
0.052987	0.927197	0.020615	14.595000	1.000000	88.823301	27.180000	470837.111671	4399134.758055	0.517534	-0.517478	0.007560	2.553191	1543481452.802728
0.060416	0.929617	0.010404	14.595000	1.000000	88.824136	27.180000	470837.107440	4399134.758126	0.525450	-0.525393	0.007753	2.553191	1543481452.810728
0.045162	0.932568	0.035662	14.665500	1.000000	88.824942	27.340500	470837.103147	4399134.758197	0.533392	-0.533334	0.007826	2.553191	1543481452.818728
0.054488	0.941056	0.001452	14.665500	1.000000	88.826763	27.340500	470837.094370	4399134.758342	0.549253	-0.549195	0.007946	2.553191	1543481452.834726
0.065232	0.925519	0.050049	14.595000	1.000000	88.827707	27.389999	470837.089886	4399134.758417	0.557140	-0.557080	0.008178	2.553191	1543481452.842728
0.077023	0.865867	-0.009088	14.595000	1.000000	88.828859	27.389999	470837.085341	4399134.758494	0.564543	-0.564479	0.008492	2.553191	1543481452.850728
0.074189	0.878333	0.039515	14.637000	1.000000	88.830076	27.759001	470837.080736	4399134.758573	0.572050	-0.571983	0.008787	2.553191	1543481452.858728
0.058865	0.940455	0.002981	14.637000	1.000000	88.832310	27.759001	470837.071342	4399134.758739	0.587901	-0.587828	0.009220	2.553191	1543481452.874727
0.053137	0.984487	0.039717	14.643000	1.000000	88.833567	27.917999	470837.066546	4399134.758825	0.596259	-0.596185	0.009364	2.553191	1543481452.882728
0.042782	1.006508	0.027941	14.643000	1.000000	88.834714	27.917999	470837.061687	4399134.758911	0.604787	-0.604713	0.009428	2.553191	1543481452.890724
0.017456	0.996578	0.041806	14.671500	1.000000	88.835821	27.975000	470837.056756	4399134.758998	0.613243	-0.613173	0.009288	2.553191	1543481452.898725
0.023847	0.997440	0.035614	14.671500	1.000000	88.837030	27.975000	470837.051758	4399134.759084	0.621705	-0.621637	0.009199	2.553191	1543481452.906725
